home_team,away_team,bookmaker,first_seen_unpriced_at
Monterrey,FC Juarez,betano,2026-08-12T11:28:15Z
Santos Laguna,Guadalajara,betano,2026-08-12T11:28:15Z
Necaxa,Leon,betano,2026-08-12T11:28:15Z
Pachuca,Puebla,betano,2026-08-12T11:28:15Z
FC Juarez,Club America,betano,2026-08-12T11:28:15Z
Queretaro,Toluca,betano,2026-08-12T11:28:15Z
Guadalajara,Tijuana,betano,2026-08-12T11:28:15Z
Leon,Monterrey,betano,2026-08-12T11:28:15Z
Puebla,Santos Laguna,betano,2026-08-12T11:28:15Z
Cruz Azul,Atlas,betano,2026-08-12T11:28:15Z
Atletico San Luis,Pachuca,betano,2026-08-12T11:28:15Z
UNAM Pumas,Necaxa,betano,2026-08-12T11:28:15Z
Tigres UANL,Atlante,duel,2026-08-12T11:28:15Z
FC Juarez,Club America,duel,2026-08-12T11:28:15Z
Queretaro,Toluca,duel,2026-08-12T11:28:15Z
Guadalajara,Tijuana,duel,2026-08-12T11:28:15Z
Leon,Monterrey,duel,2026-08-12T11:28:15Z
Puebla,Santos Laguna,duel,2026-08-12T11:28:15Z
Cruz Azul,Atlas,duel,2026-08-12T11:28:15Z
Atletico San Luis,Pachuca,duel,2026-08-12T11:28:15Z
UNAM Pumas,Necaxa,duel,2026-08-12T11:28:15Z
Tigres UANL,Atlante,betano,2026-08-12T11:38:44Z
