Country,League,Season,Round,Date,Time,Home,Away,HxG,AxG,HG,AG,HExpG+,AExpG+,Res,pinnacle_open_h,pinnacle_open_d,pinnacle_open_a,pinnacle_close_h,pinnacle_close_d,pinnacle_close_a,pinnacle_open_ah,pinnacle_open_ah_h,pinnacle_open_ah_a,pinnacle_close_ah,pinnacle_close_ah_h,pinnacle_close_ah_a,betfair_open_h,betfair_open_d,betfair_open_a,betfair_close_h,betfair_close_d,betfair_close_a,polymarket_open_h,polymarket_open_d,polymarket_open_a,polymarket_close_h,polymarket_close_d,polymarket_close_a,betano_open_h,betano_open_d,betano_open_a
Mexico,Liga MX,Apertura 2023,1,2023/07/01,02:00,Mazatlan,Pachuca,1.3,4.2,1,1,1.075,1.8,D,,,,3.77,3.53,2.08,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,1,2023/07/01,04:10,Tijuana,UNAM Pumas,1.2,2.7,2,3,1.8,2.925,A,,,,2.01,3.82,3.7,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,1,2023/07/01,02:00,Club America,FC Juarez,0.9,0.7,1,2,0.975,1.675,A,,,,1.47,4.75,7.05,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,1,2023/07/02,19:00,Toluca,Necaxa,1.2,1.1,0,0,0.3,0.275,D,,,,1.64,4.36,5.25,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,1,2023/07/02,00:00,Atletico San Luis,Monterrey,3.3,1.8,1,1,1.575,1.2,D,,,,3.64,3.53,2.13,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,1,2023/07/02,02:00,Tigres UANL,Puebla,2.4,0.6,1,1,1.35,0.9,D,,,,1.5,4.75,6.44,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,1,2023/07/02,04:10,Atlas,Cruz Azul,3.1,0.6,2,0,2.275,0.15,H,,,,1.91,3.59,4.4,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,1,2023/07/03,02:05,Santos Laguna,Queretaro,0.8,0.5,0,2,0.2,1.625,A,,,,1.68,4.2,5.12,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,1,2023/07/04,03:00,Leon,Guadalajara,2,1.3,1,2,1.25,1.825,A,,,,1.93,3.5,4.43,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,2,2023/07/08,02:00,Puebla,Santos Laguna,1.5,3.2,2,3,1.875,3.05,A,,,,2.71,3.81,2.52,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,2,2023/07/08,04:00,Necaxa,Tijuana,1.2,1.3,1,1,1.05,1.075,D,,,,2.07,3.57,3.76,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,2,2023/07/09,19:00,UNAM Pumas,Mazatlan,1.1,0.8,0,0,0.275,0.2,D,,,,1.46,4.98,7.11,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,2,2023/07/09,00:50,Cruz Azul,Toluca,0.5,2.1,0,2,0.125,2.025,A,,,,2.53,3.58,2.83,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,2,2023/07/09,01:06,FC Juarez,Tigres UANL,1.1,1.9,1,1,1.025,1.225,D,,,,3.8,3.48,2.09,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,2,2023/07/09,01:05,Guadalajara,Atletico San Luis,1.3,1.2,3,1,2.575,1.05,H,,,,2,3.56,4.02,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,2,2023/07/10,02:00,Monterrey,Atlas,0.8,0.8,1,0,0.95,0.2,H,,,,1.94,3.62,4.19,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,2,2023/07/11,03:00,Leon,Pachuca,2.3,1.4,4,0,3.575,0.35,H,,,,1.91,3.82,4.11,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,3,2023/07/14,02:05,Santos Laguna,Atlas,0.5,0.3,0,0,0.125,0.075,D,,,,2.18,3.63,3.4,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,3,2023/07/14,04:00,Guadalajara,Necaxa,1.4,0.6,2,0,1.85,0.15,H,,,,2.25,3.24,3.63,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,3,2023/07/15,02:00,Mazatlan,Monterrey,0.3,2.6,0,3,0.075,2.9,A,,,,4.38,3.7,1.88,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,3,2023/07/15,04:10,Tijuana,Cruz Azul,0.7,0.8,2,1,1.675,0.95,H,,,,1.96,3.56,4.01,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,3,2023/07/16,19:00,Toluca,FC Juarez,2,1.9,2,4,2,3.475,A,,,,1.56,4.56,5.78,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,3,2023/07/16,00:00,Atletico San Luis,Queretaro,1.7,0.5,4,1,3.425,0.875,H,,,,2.06,3.53,3.84,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,3,2023/07/16,02:00,Club America,Puebla,3.6,0.9,3,0,3.15,0.225,H,,,,1.44,5.03,7.14,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,3,2023/07/16,04:05,Tigres UANL,Leon,1.2,1.2,1,0,1.05,0.3,H,,,,2.04,3.68,3.74,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,3,2023/07/17,03:15,Pachuca,UNAM Pumas,1.1,0.7,1,1,1.025,0.925,D,,,,2.08,3.91,3.43,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,4,2023/08/19,02:06,Leon,Mazatlan,1.4,1.9,2,1,1.85,1.225,H,,,,1.35,5.64,8.57,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,4,2023/08/19,04:10,FC Juarez,Guadalajara,1.5,1.1,1,1,1.125,1.025,D,,,,3.97,3.38,2.08,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,4,2023/08/19,04:00,UNAM Pumas,Toluca,3.8,0.9,1,1,1.7,0.975,D,,,,2.7,3.75,2.56,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,4,2023/08/19,04:06,Puebla,Atletico San Luis,1.1,1.8,1,2,1.025,1.95,A,,,,2.64,3.88,2.56,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,4,2023/08/21,04:10,Club America,Atlas,1.8,0.9,1,1,1.2,0.975,D,,,,2.12,3.68,3.5,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,4,2023/08/21,04:10,Necaxa,Tigres UANL,1,1.4,0,3,0.25,2.6,A,,,,4.5,3.71,1.86,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,4,2023/08/21,02:06,Queretaro,Pachuca,0.6,1.3,1,1,0.9,1.075,D,,,,3.03,3.5,2.43,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,4,2023/08/21,00:00,Cruz Azul,Santos Laguna,2.3,2.5,2,2,2.075,2.125,D,,,,2.26,3.64,3.23,,,,,,,,,,,,,,,,,,,,,
Mexico,Liga MX,Apertura 2023,5,2023/08/23,02:00,Mazatlan,Puebla,1.2,0.5,1,0,1.05,0.125,H,,,,1.94,3.86,3.9,,,,,,,,,,,,,,,,,,,,,
