fixture_id,round,match_date,match_time,kickoff_at,home_team,away_team
CSL-2026-23-2026-08-15-liaoning-tieren-shenzhen-xinpengcheng,23,2026-08-15,11:00,2026-08-15T12:00:00+01:00,Liaoning Tieren,Shenzhen Xinpengcheng
CSL-2026-23-2026-08-15-tianjin-jinmen-tiger-beijing-guoan,23,2026-08-15,11:35,2026-08-15T12:35:00+01:00,Tianjin Jinmen Tiger,Beijing Guoan
CSL-2026-23-2026-08-15-zhejiang-professional-chengdu-rongcheng,23,2026-08-15,11:35,2026-08-15T12:35:00+01:00,Zhejiang Professional,Chengdu Rongcheng
CSL-2026-23-2026-08-15-shanghai-shenhua-henan-songshan-longmen,23,2026-08-15,12:00,2026-08-15T13:00:00+01:00,Shanghai Shenhua,Henan Songshan Longmen
CSL-2026-23-2026-08-15-yunnan-yukun-dalian-yingbo,23,2026-08-15,12:00,2026-08-15T13:00:00+01:00,Yunnan Yukun,Dalian Yingbo
CSL-2026-18-2026-08-18-shanghai-shenhua-beijing-guoan,18,2026-08-18,11:35,2026-08-18T12:35:00+01:00,Shanghai Shenhua,Beijing Guoan
CSL-2026-18-2026-08-19-shanghai-port-dalian-yingbo,18,2026-08-19,11:35,2026-08-19T12:35:00+01:00,Shanghai Port,Dalian Yingbo
CSL-2026-24-2026-08-22-wuhan-three-towns-tianjin-jinmen-tiger,24,2026-08-22,11:00,2026-08-22T12:00:00+01:00,Wuhan Three Towns,Tianjin Jinmen Tiger
CSL-2026-24-2026-08-22-chengdu-rongcheng-shanghai-shenhua,24,2026-08-22,11:35,2026-08-22T12:35:00+01:00,Chengdu Rongcheng,Shanghai Shenhua
CSL-2026-24-2026-08-22-shenzhen-xinpengcheng-zhejiang-professional,24,2026-08-22,11:35,2026-08-22T12:35:00+01:00,Shenzhen Xinpengcheng,Zhejiang Professional
CSL-2026-24-2026-08-22-beijing-guoan-yunnan-yukun,24,2026-08-22,12:00,2026-08-22T13:00:00+01:00,Beijing Guoan,Yunnan Yukun
CSL-2026-24-2026-08-22-qingdao-west-coast-shandong-taishan,24,2026-08-22,12:00,2026-08-22T13:00:00+01:00,Qingdao West Coast,Shandong Taishan
CSL-2026-24-2026-08-23-liaoning-tieren-henan-songshan-longmen,24,2026-08-23,11:00,2026-08-23T12:00:00+01:00,Liaoning Tieren,Henan Songshan Longmen
CSL-2026-24-2026-08-23-shanghai-port-qingdao-hainiu,24,2026-08-23,11:35,2026-08-23T12:35:00+01:00,Shanghai Port,Qingdao Hainiu
CSL-2026-24-2026-08-23-chongqing-tonglianglong-dalian-yingbo,24,2026-08-23,12:00,2026-08-23T13:00:00+01:00,Chongqing Tonglianglong,Dalian Yingbo
CSL-2026-25-2026-08-28-dalian-yingbo-beijing-guoan,25,2026-08-28,11:35,2026-08-28T12:35:00+01:00,Dalian Yingbo,Beijing Guoan
CSL-2026-25-2026-08-28-shenzhen-xinpengcheng-shanghai-port,25,2026-08-28,12:00,2026-08-28T13:00:00+01:00,Shenzhen Xinpengcheng,Shanghai Port
CSL-2026-25-2026-08-29-qingdao-hainiu-wuhan-three-towns,25,2026-08-29,09:00,2026-08-29T10:00:00+01:00,Qingdao Hainiu,Wuhan Three Towns
CSL-2026-25-2026-08-29-tianjin-jinmen-tiger-qingdao-west-coast,25,2026-08-29,11:00,2026-08-29T12:00:00+01:00,Tianjin Jinmen Tiger,Qingdao West Coast
CSL-2026-25-2026-08-29-zhejiang-professional-yunnan-yukun,25,2026-08-29,11:00,2026-08-29T12:00:00+01:00,Zhejiang Professional,Yunnan Yukun
CSL-2026-25-2026-08-29-chengdu-rongcheng-liaoning-tieren,25,2026-08-29,11:35,2026-08-29T12:35:00+01:00,Chengdu Rongcheng,Liaoning Tieren
CSL-2026-25-2026-08-29-shanghai-shenhua-shandong-taishan,25,2026-08-29,11:35,2026-08-29T12:35:00+01:00,Shanghai Shenhua,Shandong Taishan
CSL-2026-25-2026-08-29-henan-songshan-longmen-chongqing-tonglianglong,25,2026-08-29,12:00,2026-08-29T13:00:00+01:00,Henan Songshan Longmen,Chongqing Tonglianglong
