ligamx_team,match_team,odds_team,sofascore_team,standard_team
Puebla,Puebla,Puebla,Club Puebla,Puebla
Santos,Santos Laguna,Santos Laguna,Santos Laguna,Santos Laguna
Atlético,Atl. San Luis,Atlético San Luis,Atlético San Luis,Atletico San Luis
América,Club América,América,Club América,Club America
Querétaro,Querétaro,Querétaro,Querétaro FC,Queretaro
Tijuana,Tijuana,Tijuana,Club Tijuana,Tijuana
FC Juárez,FC Juárez,FC Juárez,FC Juárez,FC Juarez
Atlas,Atlas,Atlas,Atlas FC,Atlas
UNAM,UNAM Pumas,Pumas,Pumas UNAM,UNAM Pumas
León,León,León,Club León,Leon
Guadalajara,Guadalajara,Guadalajara,CD Guadalajara,Guadalajara
Toluca,Toluca,Toluca,CD Toluca,Toluca
UANL,Tigres UANL,Tigres,Tigres UANL,Tigres UANL
Necaxa,Necaxa,Necaxa,Club Necaxa,Necaxa
Cruz Azul,Cruz Azul,Cruz Azul,Cruz Azul,Cruz Azul
Mazatlán,Mazatlán,Mazatlán FC,Mazatlán FC,Mazatlan
Pachuca,Pachuca,Pachuca,CF Pachuca,Pachuca
Monterrey,Monterrey,Monterrey,CF Monterrey,Monterrey
