event_id,commence_time,api_home_team,api_away_team,home_team,away_team,home_odds,draw_odds,away_odds,bookmaker,market,regions,last_update,fetched_at,fetched_at_london,snapshot_type,target_round,capture_reason,polymarket_event_id,match_date
mexlmx-20260510-guadalajara-vs-tigres-uanl,2026-05-10T01:07:00Z,Guadalajara,Tigres UANL,Guadalajara,Tigres UANL,1.98,3.6,3.7,betano,h2h,,,2026-05-03T01:14:00Z,2026-05-03T02:14:00,open,Quarterfinals,manual backfill,mex-gua-tig-2026-05-09,2026-05-10
mexlmx-20260511-pachuca-vs-toluca,2026-05-10T23:00:00Z,Pachuca,Toluca,Pachuca,Toluca,3,3.6,2.27,betano,h2h,,,2026-05-04T01:42:00Z,2026-05-04T02:42:00,open,Quarterfinals,manual backfill,mex-pac-tol-2026-05-10,2026-05-11
mexlmx-20260511-unam-pumas-vs-club-america,2026-05-11T01:15:00Z,UNAM Pumas,Club America,UNAM Pumas,Club America,3,3.5,2.32,betano,h2h,,,2026-05-04T01:42:00Z,2026-05-04T02:42:00,open,Quarterfinals,manual backfill,mex-pum-ame-2026-05-10,2026-05-11
mexlmx-20260514-cruz-azul-vs-guadalajara,2026-05-14T02:00:00Z,Cruz Azul,Guadalajara,Cruz Azul,Guadalajara,2.1,3.55,3.35,betano,h2h,,,2026-05-11T19:01:00Z,2026-05-11T20:01:00,open,Semifinals,manual backfill,mex-caz-gua-2026-05-13,2026-05-14
mexlmx-20260515-pachuca-vs-unam-pumas,2026-05-15T01:00:00Z,Pachuca,UNAM Pumas,Pachuca,UNAM Pumas,2.15,3.4,3.3,betano,h2h,,,2026-05-11T19:01:00Z,2026-05-11T20:01:00,open,Semifinals,manual backfill,mex-pac-pum-2026-05-14,2026-05-15
mexlmx-20260517-guadalajara-vs-cruz-azul,,,,Guadalajara,Cruz Azul,2.07,3.45,3.65,betano,h2h,,,2026-05-14T04:12:00Z,2026-05-14T05:12:00,open,Semifinals,manual backfill,,2026-05-17
mexlmx-20260518-unam-pumas-vs-pachuca,,,,UNAM Pumas,Pachuca,1.98,3.8,3.55,betano,h2h,,,2026-05-15T15:53:00Z,2026-05-15T16:53:00,open,Semifinals,manual backfill,,2026-05-18
mexlmx-20260522-cruz-azul-vs-unam-pumas,,,,Cruz Azul,UNAM Pumas,1.72,4,4.35,betano,h2h,,,2026-05-18T16:50:00Z,2026-05-18T17:50:00,open,Final,manual backfill,,2026-05-22
mexlmx-20260525-unam-pumas-vs-cruz-azul,,,,UNAM Pumas,Cruz Azul,2.47,3.3,2.92,betano,h2h,,,2026-05-22T16:20:00Z,2026-05-22T17:20:00,open,Final,manual backfill,,2026-05-25
mexlmx-20260716-tijuana-vs-tigres-uanl,2026-07-17T03:10:00Z,Tijuana,Tigres UANL,Tijuana,Tigres UANL,3.25,3.4,2.22,betano,h2h,,,2026-07-05T13:03:00Z,2026-07-05T14:03:00,open,1,manual backfill,mex-tij-tig-2026-07-16,2026-07-16
mexlmx-20260716-necaxa-vs-atlante,2026-07-17T01:00:00Z,Necaxa,Atlante,Necaxa,Atlante,1.82,3.9,4.1,betano,h2h,,,2026-07-05T13:03:00Z,2026-07-05T14:03:00,open,1,manual backfill,mex-nec-atla-2026-07-16,2026-07-16
mexlmx-20260717-atletico-san-luis-vs-cruz-azul,2026-07-18T01:00:00Z,Atletico San Luis,Cruz Azul,Atletico San Luis,Cruz Azul,4.1,3.65,1.87,betano,h2h,,,2026-07-05T13:03:00Z,2026-07-05T14:03:00,open,1,manual backfill,mex-asl-caz-2026-07-17,2026-07-17
